,date,price,note,status,data_index,instru,unit
299,20020514,499.375,exit,short,518,3,0
300,20020521,46.645,entry,long,493,1,0
301,20020523,13755.0,entry,long,496,21,0
302,20020529,30.147000000000002,exit,long,501,20,0
303,20020531,1.1111,entry,long,499,16,0
304,20020611,13260.0,exit,long,512,21,0
305,20020612,37.77345,entry,long,507,33,0
306,20020613,47.0,exit,long,587,1,0
307,20020621,-4.25,exit,long,657,28,0
308,20020624,17.695,entry,short,509,29,0
309,20020625,251.5,entry,long,518,22,0
310,20020626,75.245,entry,long,511,6,0
311,20020708,1390.5,entry,long,526,34,0
312,20020708,18.45,exit,short,521,29,0
313,20020712,29.545499999999997,entry,short,524,20,0
314,20020715,73.595,exit,long,565,6,0
315,20020716,0.6356999999999999,exit,long,536,4,0
316,20020719,18.990000000000002,entry,long,526,29,0
317,20020722,11800.0,entry,short,536,21,0
318,20020723,527.5,entry,long,537,3,0
319,20020724,113.048,exit,short,719,8,0
320,20020726,114.075,entry,short,534,14,0
321,20020729,1.14275,exit,long,573,16,0
322,20020730,263.875,exit,long,695,22,0
323,20020730,511.625,exit,long,594,3,0
324,20020730,1.13545,exit,long,780,7,0
325,20020730,0.9430000000000001,exit,long,701,30,0
326,20020807,1.4087999999999998,exit,long,697,2,0
327,20020814,95.01249999999999,exit,long,561,11,0
328,20020816,29.839000000000006,exit,short,554,20,0
329,20020821,12.555,entry,short,557,26,0
330,20020830,756.0,entry,long,559,24,0
331,20020905,727.5,exit,long,707,24,0
332,20020916,132.8875,entry,long,575,17,0
333,20020916,1452.625,exit,long,631,34,0
334,20020919,30.496499999999997,entry,long,572,20,0
335,20020920,121.05000000000001,entry,long,579,10,0
336,20020925,644.55,entry,long,576,13,0
337,20020930,411.15,entry,short,579,23,0
338,20021001,95.14250000000001,entry,long,584,11,0
339,20021003,129.6875,exit,long,691,17,0
340,20021003,0.154,entry,long,586,19,0
341,20021009,95.035,exit,long,594,11,0
342,20021009,1053.6,entry,short,586,31,0
343,20021016,48.773399999999995,exit,long,781,33,0
344,20021016,10670.0,exit,short,753,21,0
345,20021016,93.42000000000002,exit,long,792,9,0
346,20021016,74.72650000000002,exit,long,783,12,0
347,20021018,1.0917,entry,short,596,16,0
348,20021018,629.8500000000001,exit,long,692,13,0
349,20021022,114.75,exit,short,599,14,0
350,20021022,0.1874,entry,long,598,0,0
351,20021030,50.465,entry,long,606,1,0
352,20021031,95.175,entry,long,605,11,0
353,20021104,75.695,entry,long,601,6,0
354,20021105,30.142000000000003,exit,long,703,20,0
355,20021108,1076.85,exit,short,627,31,0
356,20021108,1.1236000000000002,exit,short,645,16,0
357,20021113,20.105,exit,long,705,29,0
358,20021127,0.17329999999999998,exit,long,712,19,0
359,20021202,229.65,entry,long,629,18,0
360,20021203,119.875,entry,long,623,14,0
361,20021204,72.87,exit,long,718,6,0
362,20021206,503.0,entry,short,633,3,0
363,20021211,226.3125,exit,long,663,18,0
364,20021212,0.6317999999999999,entry,long,633,4,0
365,20021213,123.075,exit,long,659,10,0
366,20021213,0.45745,entry,long,631,25,0
367,20021217,2.3072,entry,long,633,15,0
368,20021217,145.89,entry,long,633,5,0
369,20021219,116.225,exit,long,702,14,0
370,20021227,49.98,exit,long,655,1,0
371,20021231,1.1353499999999999,entry,long,645,16,0
372,20021231,0.6237,exit,long,783,4,0
373,20030102,1385.375,entry,short,649,34,0
374,20030102,1097.95,entry,long,643,31,0
375,20030108,0.5014,exit,long,697,25,0
376,20030108,2.32235,exit,long,724,15,0
377,20030109,361.4,exit,short,805,23,0
378,20030109,12.225,exit,short,654,26,0
379,20030127,776.06,entry,short,665,32,0
380,20030210,1086.45,exit,long,694,31,0
381,20030211,1.11495,exit,long,701,16,0
382,20030213,221.64999999999998,entry,short,679,18,0
383,20030213,116.0,entry,short,679,10,0
384,20030213,95.3125,exit,long,674,11,0
385,20030213,48.13,entry,short,677,1,0
386,20030225,118.95,exit,short,730,10,0
387,20030228,115.875,entry,long,688,28,0
388,20030312,12.475000000000001,entry,long,695,26,0
389,20030313,0.23515000000000003,exit,long,794,0,0
390,20030318,1060.8,entry,short,694,31,0
391,20030318,795.8599999999999,exit,short,721,32,0
392,20030319,150.59999999999997,exit,long,724,5,0
393,20030321,49.879999999999995,exit,short,703,1,0
394,20030402,506.125,exit,short,715,3,0
395,20030407,50.425,entry,long,713,1,0
396,20030423,1078.05,exit,short,726,31,0
397,20030424,278.25,entry,short,726,22,0
398,20030424,222.0625,exit,short,734,18,0
399,20030429,0.39239999999999997,entry,short,723,25,0
400,20030430,102.708,entry,short,745,8,0
401,20030501,13.805000000000001,exit,long,769,26,0
402,20030502,0.25344999999999995,entry,long,729,19,0
403,20030502,1.5039,entry,long,729,2,0
404,20030505,137.625,entry,long,734,17,0
405,20030505,859.06,entry,long,733,32,0
406,20030506,95.175,entry,short,731,11,0
407,20030507,1.0223499999999999,entry,long,732,30,0
408,20030508,1.14815,entry,long,733,16,0
409,20030512,1394.75,exit,short,738,34,0
410,20030515,1102.05,entry,long,735,31,0
411,20030519,283.25,exit,short,817,22,0
412,20030519,0.4765,exit,short,753,25,0
413,20030520,681.05,entry,long,738,13,0
414,20030521,95.1875,exit,short,759,11,0
415,20030528,50.30500000000001,exit,long,770,1,0
416,20030528,123.01249999999999,entry,long,750,10,0
417,20030530,1075.3,exit,long,834,31,0
418,20030602,68.155,entry,short,741,6,0
419,20030602,1.12275,exit,long,790,16,0
420,20030602,121.45,entry,long,746,14,0
421,20030602,152.325,entry,long,746,5,0
422,20030603,146.5,exit,long,777,28,0
423,20030603,2.4262,entry,long,747,15,0
424,20030606,32.6345,entry,long,750,20,0
425,20030606,20.35,entry,short,745,29,0
426,20030611,72.93,exit,short,768,6,0
427,20030611,666.0,exit,long,777,13,0
428,20030612,121.35,exit,long,899,10,0
429,20030612,136.65000000000003,exit,long,900,17,0
430,20030613,31.72,exit,long,766,20,0
431,20030618,10920.0,entry,long,765,21,0
432,20030620,888.0,entry,long,760,24,0
433,20030623,1.01455,exit,long,774,30,0
434,20030626,95.1125,entry,short,767,11,0
435,20030627,118.0,exit,long,973,14,0
436,20030627,100.053,exit,short,799,8,0
437,20030627,495.625,entry,short,771,3,0
438,20030709,0.2861,exit,long,814,19,0
439,20030709,1.5385999999999997,exit,long,807,2,0
440,20030710,0.5738,entry,long,773,25,0
441,20030714,30.973000000000003,entry,short,775,20,0
442,20030716,220.1,entry,short,784,18,0
443,20030718,48.295,entry,short,784,1,0
444,20030718,11452.5,exit,long,871,21,0
445,20030721,20.68,exit,short,784,29,0
446,20030724,13.86,entry,long,788,26,0
447,20030729,1412.5,entry,long,792,34,0
448,20030801,1.11375,entry,short,792,16,0
449,20030801,99.25,entry,short,795,28,0
450,20030806,889.01,exit,long,949,32,0
451,20030806,47.3047,entry,short,795,33,0
452,20030813,139.0,exit,short,807,28,0
453,20030813,497.375,exit,short,816,3,0
454,20030815,76.15625,entry,short,802,12,0
455,20030819,0.97885,entry,short,804,30,0
456,20030820,13.860000000000001,exit,long,840,26,0
457,20030822,48.565,exit,short,824,1,0
458,20030825,178.375,entry,long,811,28,0
459,20030826,1.1369500000000001,exit,short,810,16,0
460,20030828,684.9,entry,long,808,13,0
461,20030902,1.1441,entry,long,813,16,0
