,date,price,note,instru,left_equity,unit
234,20120717,32.595,Entry,7,-13082073.212499999,34000
235,20120816,30.025,Exit,7,-12061223.212499999,0
236,20120822,1789.0,Entry,1,-14297473.212499999,1250
237,20120907,1.6472,Entry,5,-18632903.612499997,2632000
238,20120914,125.9375,Entry,10,-21151653.612499997,20000
239,20120917,1796.5,Entry,9,-22499028.612499997,750
240,20120926,120.525,Exit,10,-20088528.612499997,0
241,20121102,1.33805,Exit,0,-17257549.324999996,0
242,20121108,1618.9,Exit,9,-16043374.324999996,0
243,20121127,1699.55,Entry,9,-17318036.824999996,750
244,20121220,126.3375,Entry,10,-19339436.824999996,16000
245,20121227,1612.8,Exit,9,-18129836.824999996,0
246,20130110,1073.375,Exit,8,-16788118.074999996,0
247,20130115,1758.65,Entry,9,-18107105.574999996,750
248,20130117,118.75,Exit,10,-16207105.574999996,0
249,20130123,1146.0,Entry,8,-17066605.574999996,750
250,20130204,137.32999999999998,Entry,4,-18817563.074999996,12750
251,20130204,1.61905,Exit,5,-14556223.474999994,0
252,20130211,77.305,Entry,3,-15445230.974999994,11500
253,20130215,1750.85,Exit,1,-13256668.474999994,0
254,20130226,130.92,Exit,4,-11587438.474999994,0
255,20130320,1631.45,Exit,9,-10363850.974999994,0
256,20130409,1080.875,Exit,8,-9553194.724999994,0
257,20130510,1150.75,Entry,8,-10416257.224999994,750
258,20130529,71.985,Exit,3,-9588429.724999994,0
259,20130610,120.3125,Exit,6,-7332570.349999994,0
260,20130613,82.345,Entry,3,-7929571.599999994,7250
261,20130620,135.60500000000002,Entry,4,-9251720.349999994,9750
262,20130621,131.365,Exit,4,-7970911.599999994,0
263,20130705,137.49,Entry,4,-9173949.099999994,8750
264,20130828,1.61175,Entry,5,-11728169.912499994,1584750
265,20130830,1.6051000000000002,Exit,5,-9184487.687499994,0
266,20130904,1.61715,Entry,5,-11854402.337499995,1651000
267,20131025,72.75999999999999,Exit,3,-11326892.337499995,0
268,20131107,133.195,Exit,4,-10161436.087499995,0
269,20140107,119.8625,Entry,10,-12348926.712499995,18250
270,20140121,80.215,Entry,3,-13271399.212499995,11500
271,20140219,140.91000000000003,Entry,4,-14786181.712499995,10750
272,20140317,119.01565,Entry,6,-16749939.937499994,16500
273,20140609,74.995,Exit,3,-15887497.437499994,0
274,20140701,1564.8,Entry,9,-17452297.437499993,1000
275,20140814,1266.75,Exit,8,-16502234.937499993,0
276,20140821,1481.75,Exit,9,-15020484.937499993,0
277,20140827,137.445,Exit,4,-13542951.187499993,0
278,20140916,1.6861000000000002,Exit,5,-10759200.087499993,0
279,20150209,135.64999999999998,Exit,10,-8283587.587499993,0
280,20150210,137.75,Entry,10,-9110087.587499993,6000
281,20150213,135.2375,Exit,10,-8298662.587499993,0
282,20150217,137.1375,Entry,10,-9155771.962499993,6250
283,20150218,134.1,Exit,10,-8317646.962499993,0
284,20150312,139.575,Entry,10,-9329565.712499993,7250
285,20150609,126.9063,Exit,6,-7235611.762499993,0
286,20150714,1272.625,Entry,8,-8190080.512499993,750
287,20150729,1178.875,Exit,8,-7305924.262499993,0
288,20150730,132.68755,Entry,6,-8699143.537499992,10500
289,20150803,138.175,Exit,10,-7697374.787499992,0
290,20150811,140.0875,Entry,10,-9238337.287499992,11000
291,20150813,137.3875,Exit,10,-7727074.787499992,0
292,20151202,18.75,Entry,7,-8383324.787499992,35000
293,20151217,17.810000000000002,Exit,7,-7759974.787499992,0
294,20151222,18.200000000000003,Entry,7,-8456124.787499992,38250
295,20160107,17.565,Exit,7,-7784263.537499992,0
296,20160211,0.975225,Entry,0,-9273675.918749992,1527250
297,20160217,1332.45,Entry,1,-10273013.418749992,750
298,20160318,19.200000000000003,Entry,7,-11089013.418749992,42500
299,20160419,1199.375,Entry,8,-12888075.918749992,1500
300,20160503,65.345,Entry,3,-13835578.418749992,14500
301,20160504,1125.2,Entry,9,-14679478.418749992,750
302,20160511,61.605000000000004,Exit,3,-13786205.918749992,0
303,20160527,65.25999999999999,Entry,3,-14699845.918749992,14000
304,20160601,1032.35,Exit,9,-13925583.418749992,0
305,20160708,1155.45,Entry,9,-14792170.918749992,750
306,20160928,1191.375,Exit,8,-13005108.418749992,0
307,20161005,1033.0,Exit,9,-12230358.418749992,0
308,20161024,1233.5,Entry,8,-13463858.418749992,1000
309,20161115,138.84375,Exit,6,-12005999.043749992,0
310,20161118,1320.5500000000002,Exit,1,-11015586.543749992,0
311,20161125,0.956325,Exit,0,-9555039.187499993,0
312,20161129,98.5275,Exit,2,1085930.8125000075,0
313,20161227,20.5,Exit,7,1957180.8125000075,0
314,20161230,21.985,Entry,7,1275645.8125000075,31000
315,20170112,119.1,Entry,10,203745.81250000745,9000
316,20170301,1078.05,Entry,9,-874304.1874999925,1000
317,20170303,1036.9,Exit,9,162595.81250000757,0
318,20170314,20.535,Exit,7,799180.8125000076,0
319,20170322,1208.0,Exit,8,2007180.8125000075,0
320,20170404,1363.3000000000002,Entry,1,303055.8125000072,1250
321,20170420,98.61,Entry,2,-38771156.68749999,396250
322,20170515,1331.25,Exit,1,-37107094.18749999,0
323,20170522,1363.75,Entry,1,-38811781.68749999,1250
324,20170607,143.9375,Entry,6,-41294703.56249999,17250
325,20170706,1324.4499999999998,Exit,1,-39639141.06249999,0
326,20170707,70.52,Exit,3,-38651861.06249999,0
327,20170802,1371.3000000000002,Entry,1,-40365986.06249999,1250
328,20170807,73.32499999999999,Entry,3,-41447529.81249999,14750
329,20170816,69.50999999999999,Exit,3,-40422257.31249999,0
330,20170823,0.98075,Entry,0,-42582604.37499999,2202750
331,20170830,120.3875,Exit,10,-41499116.87499999,0
332,20170901,73.995,Entry,3,-42498049.37499999,13500
333,20170901,1052.35,Entry,9,-43550399.37499999,1000
334,20170918,1.4142000000000001,Entry,5,-45338655.27499999,1264500
335,20170920,0.956725,Exit,0,-43231229.28124999,0
336,20170922,980.1500000000001,Exit,9,-42251079.28124999,0
337,20170925,125.35,Entry,10,-43191204.28124999,7500
338,20171005,71.02000000000001,Exit,3,-42232434.28124999,0
339,20171006,98.515,Exit,2,-3195865.5312499925,0
340,20171101,71.91499999999999,Entry,4,-4220654.281249993,14250
341,20171124,73.9,Entry,3,-5218304.281249993,13500
342,20171212,1330.8,Exit,1,-3554804.2812499925,0
343,20171226,122.55,Exit,10,-2635679.2812499925,0
344,20171229,126.51249999999999,Entry,10,-3584523.0312499925,7500
345,20180102,1402.55,Entry,1,-5688348.031249993,1500
346,20180109,120.94999999999999,Exit,10,-4781223.031249993,0
347,20180117,141.7344,Exit,6,-2336304.6312499926,0
348,20180118,1046.6,Entry,9,-3382904.6312499926,1000
349,20180129,127.98750000000001,Entry,10,-4406804.631249993,8000
350,20180201,0.9739500000000001,Entry,0,-6472065.606249994,2120500
351,20180223,1207.25,Entry,8,-7679315.606249994,1000
352,20180316,121.8625,Exit,10,-6704415.606249994,0
353,20180320,987.5,Exit,9,-5716915.606249994,0
354,20180511,0.963325,Exit,0,-3674184.943749994,0
355,20180516,1158.5,Exit,8,-2515684.943749994,0
