,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
89,20001009,837.05,837.05,830.3,834.2,22,1154,824.1146937432703,800.1778697347786,15.845038370707266,952.45,865.2,805.3,805.3
90,20001010,834.2,836.8,833.3,834.05,17,1152,824.5043135964754,800.8486049875553,15.600582165346726,952.45,865.2,805.3,805.3
91,20001011,834.05,840.3,834.05,836.65,36,1134,824.9806150240646,801.5575435026532,15.415422122468573,952.45,865.2,805.3,805.3
92,20001012,836.65,838.3,833.3,838.3,51,1108,825.5029438466503,802.2851168986402,15.209176139845434,952.45,865.2,805.3,805.3
93,20001013,835.3,836.3,835.3,835.3,4,1107,825.8871421271738,802.9388769600533,14.96741027569008,890.2,865.2,805.3,805.3
94,20001016,835.3,836.3,834.3,835.95,18,1107,826.2817640045395,803.5925625648048,14.710629874191266,890.2,865.2,805.3,805.3
95,20001017,836.8,836.8,833.8,835.8,17,1104,826.6550281612242,804.2303336031255,14.478736213316191,890.2,865.2,805.3,805.3
96,20001018,839.3,839.3,837.3,837.3,4,1101,827.0724780372547,804.8851784822715,14.261335496220822,890.2,842.3,805.3,805.3
97,20001019,837.3,858.3,837.3,858.0,222,1166,828.2853220357937,805.9369571261869,14.394774397285756,890.2,841.3,805.3,805.3
98,20001020,852.3,857.3,851.3,857.3,46,1132,829.423152544194,806.9540470840842,14.242402627042475,890.2,858.0,805.3,805.3
99,20001023,855.3,859.3,852.3,858.65,73,1127,830.5693034248138,807.977729320043,14.098988713635693,882.8,858.0,805.3,805.3
100,20001024,855.3,855.3,847.3,849.3,50,1162,831.3038405454093,808.7959921057846,14.0445532935637,867.95,858.65,805.3,805.3
101,20001025,847.3,854.3,847.3,851.2,30,1158,832.0840820926481,809.6356754304226,13.905057188740656,867.95,858.65,805.3,805.3
102,20001026,851.3,855.3,849.8,852.3,233,982,832.8768631870541,810.4805135407112,13.73862041272599,865.2,858.65,805.3,805.3
103,20001027,854.3,854.3,851.3,853.3,226,924,833.677770513052,811.3284241636674,13.525974463959137,865.2,858.65,805.3,805.3
104,20001030,853.3,856.3,849.3,849.3,70,930,834.2904069635206,812.080336556466,13.396747246851035,865.2,858.65,805.3,805.3
105,20001031,851.3,882.3,851.3,879.35,173,989,836.0574498276962,813.4124090999023,13.784930469685667,865.2,858.65,805.3,805.3
106,20001101,872.3,879.3,872.3,874.5,71,995,837.5650008148455,814.6220643652508,13.651565509889913,879.35,879.35,805.3,805.3
107,20001102,881.3,891.3,879.3,891.3,52,977,839.6722556848515,816.1404393283152,13.713910747317835,879.35,879.35,805.3,805.3
108,20001103,896.3,896.3,886.3,887.8,48,947,841.5596182070142,817.5594405297347,13.640367960242234,891.3,891.3,805.3,812.15
109,20001106,879.3,879.3,872.3,874.8,41,943,842.8631625910529,818.6929169548885,13.67719235706912,891.3,891.3,805.3,814.3
110,20001107,877.3,878.3,875.3,878.05,45,932,844.2430385678744,819.86830473796,13.475663795543,891.3,891.3,805.3,825.1
111,20001108,882.3,882.3,878.3,878.3,27,935,845.5786056828597,821.0253680104756,13.292977383750069,891.3,891.3,805.3,831.45
112,20001109,878.3,884.3,878.3,881.85,46,912,847.0010133031398,822.229816168684,13.148561990012443,891.3,891.3,805.3,834.05
113,20001110,881.85,883.3,880.3,882.35,49,903,848.3872480755656,823.420314858413,12.94760036644784,891.3,891.3,805.3,834.05
114,20001113,878.3,878.3,874.3,874.3,98,782,849.4034344255434,824.4278333760682,12.850618180973628,891.3,891.3,805.3,834.05
115,20001114,877.3,885.3,877.3,882.3,54,817,850.6934958206201,825.5738168735718,12.813972276399893,891.3,891.3,805.3,834.05
116,20001115,885.3,885.3,885.3,882.3,110,1043,851.9329665727527,826.6971076285506,12.619636191718707,891.3,891.3,805.3,835.3
117,20001116,885.3,885.3,877.3,883.3,128,1138,853.1630463149977,827.8179569824407,12.528158247328237,891.3,891.3,805.3,835.3
118,20001117,881.3,883.3,881.3,882.4,131,1211,854.3095935183311,828.8987895174419,12.319679866193026,891.3,891.3,805.3,835.3
119,20001120,882.4,886.3,882.4,884.3,93,1285,855.4856878901612,829.9958431903638,12.152953532209004,891.3,891.3,805.3,835.8
120,20001121,884.3,887.3,882.3,883.3,94,1289,856.576445227802,831.0513710479803,12.011310888006845,891.3,891.3,805.3,835.8
121,20001122,886.3,890.3,884.3,889.45,71,1307,857.8656042384764,832.2077795420797,11.912077009036413,891.3,891.3,805.3,837.3
122,20001127,894.1,894.1,891.3,892.3,152,1399,859.2159726997127,833.3977245016425,11.768273503906979,891.3,891.3,805.3,849.3
123,20001128,897.3,903.3,897.3,903.3,134,1497,860.9447580840376,834.7819279768576,11.75306016719595,892.3,892.3,805.3,849.3
124,20001129,907.3,909.1,902.3,907.15,191,1640,862.7567283552519,836.2149591060287,11.654979767845536,903.3,903.3,805.3,849.3
125,20001130,909.3,919.1,909.3,917.3,85,1600,864.8956801844577,837.8206034801667,11.660821752640674,907.15,907.15,805.3,849.3
126,20001201,925.3,939.1,924.3,938.9,144,1615,867.7978103733025,839.8221756884802,11.861597559519078,917.3,917.3,805.3,849.3
127,20001204,974.3,989.3,964.3,979.3,162,1645,872.170445260624,842.5841128035598,12.624734241508799,938.9,938.9,805.3,849.3
128,20001205,975.8,977.3,967.3,967.3,69,1660,875.9010160347171,845.0537343322022,12.612363266429417,979.3,979.3,805.3,849.3
129,20001206,950.3,958.3,950.3,955.75,37,1653,879.032348739238,847.2457395929507,12.699247162143687,979.3,979.3,805.3,849.3
130,20001207,971.3,999.3,971.3,999.3,138,1650,883.7487272200523,850.2567150465557,13.31015315893292,979.3,979.3,805.3,874.3
131,20001208,990.3,1012.3,989.3,1005.1,109,1697,888.5076006624032,853.3229187090001,13.502031314201576,999.3,999.3,805.3,874.3
132,20001211,1014.3,1022.8,1014.3,1018.35,89,1740,893.599459459956,856.5907817048615,13.585159406989662,1005.1,1005.1,805.3,874.3
133,20001212,1039.3,1048.3,1018.3,1030.45,111,1724,898.9661473242714,860.033538502785,13.910205755366105,1018.35,1018.35,812.15,874.3
134,20001213,1035.3,1039.3,980.3,992.75,183,1677,902.6439454684177,862.6615872453041,14.803072968131133,1030.45,1030.45,814.3,874.3
135,20001214,1019.3,1024.3,1012.3,1021.85,99,1708,907.3186927049503,865.8138330424267,15.134695285593882,1030.45,1030.45,825.1,874.3
136,20001215,1039.3,1043.3,1033.3,1040.8,54,1693,912.5532537753444,869.2789056554479,15.259750824493011,1030.45,1030.45,831.45,874.3
137,20001218,1034.3,1039.3,1034.3,1038.5,19,1696,917.4923418625858,872.629818414746,15.086290412126813,1040.8,1040.8,834.05,874.3
138,20001219,1037.3,1037.3,1009.3,1009.3,28,1677,921.0926421817001,875.336158644157,15.36576980990648,1040.8,1040.8,834.05,874.3
139,20001220,1036.3,1041.3,1036.3,1037.3,64,1703,925.6497934686922,878.5433634234806,15.695160506740015,1040.8,1040.8,834.05,874.3
140,20001221,1047.3,1054.3,1044.3,1044.3,78,1728,930.3027427444298,881.8256730586593,15.720998912547143,1040.8,1040.8,834.05,882.3
141,20001222,1064.3,1067.3,1054.3,1059.3,76,1742,935.3614587152365,885.3400161664086,15.865137547942249,1044.3,1044.3,835.3,882.3
142,20001226,1055.3,1058.3,1055.3,1058.3,16,1718,940.1825779813056,888.7649663413313,15.630184329171115,1059.3,1059.3,835.3,882.4
143,20001227,1067.3,1074.3,1059.3,1063.3,49,1723,945.0107121781172,892.221105621701,15.637507411761787,1059.3,1059.3,835.3,882.4
144,20001228,1064.3,1064.3,1051.3,1052.3,11,1728,949.2181352299557,895.390984718301,15.585279542221949,1063.3,1063.3,835.8,883.3
145,20001229,1050.3,1058.3,1050.3,1053.75,33,1712,953.3174240444672,898.5268068030871,15.435075986930425,1063.3,1063.3,835.8,883.3
146,20010102,1063.3,1067.8,1063.3,1067.8,40,1715,957.8069368270371,901.878751222828,15.407648739664475,1063.3,1063.3,837.3,889.45
147,20010103,1078.3,1094.3,1078.3,1087.7,71,1709,962.9007824416632,905.5583799114848,15.627299259671119,1067.8,1067.8,849.3,892.3
148,20010104,1092.3,1098.3,1081.3,1081.3,88,1675,967.5438890125783,909.0384119924455,15.654481452548918,1087.7,1087.7,849.3,903.3
149,20010105,1077.3,1085.3,1070.3,1085.3,47,1691,972.1617757179674,912.5287404678426,15.641521423785573,1087.7,1087.7,849.3,907.15
150,20010108,1129.3,1134.3,1114.3,1124.9,72,1695,978.1515100035373,916.7341119437269,16.30208535598784,1087.7,1087.7,849.3,917.3
151,20010109,1127.3,1140.3,1127.3,1133.7,75,1669,984.2514507877123,921.0304661626631,16.284222279631642,1124.9,1124.9,849.3,938.9
152,20010110,1139.3,1181.8,1139.3,1172.1,99,1654,991.6180605607432,926.0021401000361,16.914237680034972,1133.7,1133.7,849.3,955.75
153,20010111,1159.3,1163.3,1121.3,1144.55,89,1672,997.6153915191454,930.3298204940947,17.585242874489726,1172.1,1172.1,849.3,955.75
154,20010112,1149.3,1154.3,1140.3,1150.1,60,1681,1003.5951800870221,934.6817052367859,17.51424796608399,1172.1,1172.1,849.3,955.75
155,20010116,1169.3,1169.3,1124.3,1127.65,80,1697,1008.4600749855703,938.5028595885327,18.058520283587278,1172.1,1172.1,874.3,992.75
156,20010117,1139.3,1143.3,1094.3,1098.6,207,1721,1011.994974005744,941.6730999927202,18.671222852229114,1172.1,1172.1,874.3,992.75
157,20010118,1104.3,1131.3,1104.3,1129.3,45,1721,1016.595171103558,945.3884841512802,18.949020419511708,1172.1,1172.1,874.3,992.75
158,20010119,1154.3,1169.3,1152.3,1161.8,91,1715,1022.2894781191047,949.67386070274,19.365871500313457,1172.1,1172.1,874.3,992.75
159,20010122,1179.3,1184.3,1174.3,1174.5,134,1664,1028.2585181928653,954.1258634611015,19.4279334508023,1172.1,1172.1,874.3,992.75
160,20010123,1169.3,1169.3,1150.3,1159.3,44,1657,1033.3973998323606,958.1887176499906,19.522429818113146,1174.5,1174.5,874.3,1009.3
161,20010124,1154.3,1160.3,1140.3,1146.9,121,1649,1037.848482191876,961.9255747262284,19.531886653398033,1174.5,1174.5,874.3,1009.3
162,20010125,1154.3,1174.3,1154.3,1174.3,85,1636,1043.19952210592,966.1310088900655,19.687690878083217,1174.5,1174.5,874.3,1009.3
163,20010126,1187.3,1189.3,1169.3,1178.3,266,1451,1048.4975800625507,970.3323750506582,19.693875217131072,1174.5,1174.5,874.3,1009.3
164,20010129,1171.3,1171.3,1150.3,1153.3,63,1454,1052.6074788836272,973.9554963367838,19.858352935603726,1178.3,1178.3,874.3,1037.3
165,20010130,1149.3,1158.3,1149.3,1158.05,18,1456,1056.7424797117203,977.6009320528871,19.64333604578979,1178.3,1178.3,882.3,1044.3
166,20010131,1156.3,1157.3,1143.3,1154.1,135,1317,1060.5604216838096,981.0959631013448,19.546438302308804,1178.3,1178.3,882.3,1052.3
167,20010201,1144.3,1154.3,1139.3,1152.9,90,1367,1064.181581617778,984.4980232379518,19.456409821074967,1178.3,1178.3,882.4,1052.3
168,20010202,1159.3,1159.3,1151.3,1154.45,29,1360,1067.7215195935514,987.8634089164082,19.22955022065764,1178.3,1178.3,882.4,1052.3
169,20010205,1159.3,1183.3,1159.3,1182.1,148,1317,1072.206950197726,991.7096780467763,19.420054176684218,1178.3,1178.3,883.3,1052.3
170,20010206,1176.3,1179.3,1174.3,1175.8,89,1264,1076.2694227389916,995.3550309567411,19.189954093977597,1182.1,1182.1,883.3,1053.75
171,20010207,1174.05,1175.3,1169.5,1171.3,172,1211,1079.9961120433447,998.8390897496769,18.93470747825527,1182.1,1182.1,889.45,1067.8
172,20010208,1164.3,1164.3,1139.5,1141.2,171,1172,1082.396264512233,1001.6581176754258,19.18946574601259,1182.1,1182.1,892.3,1081.3
